gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G43750	348.4316316137229	-2.496393431377602	0.19867388691822702	-12.56528208161097	3.277041708454193e-36	1.983954660982358e-33
AT1G21130	2352.6244654847883	-1.930330891952124	0.15429260937003664	-12.510844815143757	6.512785247414073e-36	3.844334311917342e-33
AT1G26255	908.3041272427575	-2.5601256136104835	0.2052612343225914	-12.472523718662602	1.0543313412477241e-35	6.07166275565854e-33
AT2G46490	580.3860212133243	-1.8478931754831958	0.14996099395787252	-12.322492180882126	6.854279841384952e-35	3.853247650831907e-32
AT1G10370	451.1915224679131	1.7789927809679777	0.14469001322284653	12.29520090117094	9.611749801194591e-35	5.277744757116406e-32
AT1G28670	301.42347065327675	-2.172212545686682	0.17849219366383606	-12.169790180167356	4.502383654922518e-34	2.416040465372172e-31
AT2G14255	285.5105995509577	-2.233199163885862	0.18448979798961573	-12.104729845341154	9.96970633482965e-34	5.230994139370285e-31
AT1G26250	821.7311452882761	-2.2569998864140355	0.18705615719641108	-12.065894650258212	1.5991501784004187e-33	8.033518055789849e-31
AT2G02960	530.3824573589673	-1.725127116308466	0.1429750180795208	-12.065933891674513	1.5983880570041915e-33	8.033518055789849e-31
AT3G25719	132.61015717098633	6.521969609145779	0.5411354551613329	12.05237902440034	1.8843162082824453e-33	9.268872915366004e-31
AT1G17860	913.6548248993995	-1.69792055975189	0.1412176136725144	-12.023433306905973	2.676160944686143e-33	1.2895272666323371e-30
AT3G58220	127.3812182093936	-5.9025571574620885	0.49199222164426876	-11.997257065844199	3.6726711422003405e-33	1.734308766769845e-30
AT5G46800	592.852038722035	-1.556378250208679	0.130436360009172	-11.932088952031764	8.05270095404927e-33	3.7280847495305354e-30
AT2G30620	1705.283406724824	-1.1340149105819937	0.09542353078165339	-11.88401750902331	1.4331024349350808e-32	6.507111844471576e-30
AT5G44530	192.66404867195212	-3.0133323907870606	0.25764517604659776	-11.695667805719244	1.3412792177122963e-31	5.975272379133023e-29
AT2G18280	884.6031111690052	-1.6288051891022317	0.14089539193804945	-11.560386515823058	6.5413688876274785e-31	2.860152977884674e-28
AT1G28610	448.6572992062291	1.8974290530465057	0.16549996819064386	11.464830318642758	1.9814756604122532e-30	8.506294875998857e-28
AT2G24755	137.45895875496547	-6.79931829266306	0.593239947408912	-11.461329133953932	2.0632391681813824e-30	8.699132142844754e-28
AT1G03106	132.47075428476174	6.2217437133725335	0.5462143314139273	11.390663619658172	4.654313415752123e-30	1.9279472641986558e-27
AT3G26450	528.05184002239	-1.7231256464615874	0.151331924660175	-11.386398807330114	4.8877558581752294e-30	1.9897379925409543e-27
AT5G41700	2738.251463861837	-1.239088492179303	0.10886386835560885	-11.381999472329637	5.1407391652200495e-30	2.0572541089832303e-27
AT3G26395	112.88225514633372	-5.853246452548669	0.5146727403180129	-11.372753973587152	5.715529379295596e-30	2.249156069575805e-27
AT5G43740	111.2782789351087	-3.797307890315587	0.3354527324404668	-11.319949200263258	1.0453247661617632e-29	4.046092303909081e-27
AT3G02515	339.3708855568394	9.494591176315145	0.8506794837536846	11.1611850969058	6.314416785468311e-29	2.4046724955111657e-26
AT3G33520	162.41730034863096	-7.537137469143706	0.680668699890101	-11.073136564617458	1.6936683937617343e-28	6.347492769064811e-26
AT1G11280	228.10907407447743	-2.9685812474861466	0.2701687788950564	-10.987876762174855	4.370874069279326e-28	1.612511057027409e-25
AT3G60300	425.420987771235	-3.0045978717742416	0.2751668506423963	-10.919185449700054	9.33290361214118e-28	3.39014134132716e-25
AT3G05560	2004.017030883476	-1.1458787215325885	0.10516483108278478	-10.896025883696456	1.2040194132224558e-27	4.307288237211425e-25
AT2G02390	597.3258217905013	-1.396017116785627	0.1293921619536202	-10.78903927183797	3.878224833775448e-27	1.3666980082130166e-24
AT5G45750	347.36287986067083	-2.6783177773812676	0.2510007476868813	-10.670556968708391	1.3978594525388363e-26	4.8536558138080094e-24
AT3G25770	834.1846246562017	-1.9472801973570222	0.1827069600348482	-10.657942078318264	1.6010079727701184e-26	5.47846365870656e-24
AT3G26690	540.3996848024171	1.5759437153623188	0.14815120693703762	10.63740045015006	1.9962102519727148e-26	6.733217179903968e-24
AT2G15290	620.6468437567597	-1.5294954603154063	0.1449716986249141	-10.550303782207012	5.0633120536626965e-26	1.6838008577328157e-23
AT1G35612	96.11234184329913	-5.912519712257237	0.5633506358565881	-10.49527476483116	9.081311721484319e-26	2.9780395979995313e-23
AT1G23130	3456.6294001307924	-6.715334465890561	0.6402962607914608	-10.48785519626467	9.823293197790328e-26	3.177229804014074e-23
